,Body ID,Headline,Stance,Headline1,Headline2
38,39,"['знаменной', 'группе', 'минобороны', 'выявили', 'провокаторов', 'планировавших', 'параде', 'победы', 'бросить', 'триколор', 'мавзолею']",disagree,в знаменной группе минобороны выявили провокаторов планировавших на параде победы бросить триколор к мавзолею ,знаменный группа минобороны выявлять провокатор планировать парад победа бросать триколор мавзолей
39,40,"['эсминец', 'uss', 'zumwalt', 'вошёл', 'российские', 'воды', 'дозвониться', 'прямую', 'линию', 'президента', 'россии']",disagree,эсминец uss zumwalt вошёл в российские воды чтобы дозвониться на прямую линию президента россии ,эсминец uss zumwalt входить российский вода дозваниваться прямой линия президент россия
40,41,"['международную', 'универсиаду', '2023', 'года', 'перенесут', 'екатеринбурга']",agree,международную универсиаду 2023 года перенесут из екатеринбурга,международный универсиада год перенести екатеринбург
41,42,"['фигурантов', 'дела', 'убийстве', 'главы', 'ингушского', 'центра', '«э»', 'заподозрили', 'терроризме']",agree,фигурантов дела об убийстве главы ингушского центра «э» заподозрили в терроризме,фигурант дело убийство глава ингушский центр заподозривать терроризм
42,43,"['путин', 'подписал', 'указ', 'ответных', 'санкциях', 'требует', 'игнорировать', 'действующие', 'контракты', 'запрещает', 'экспорт', 'попадет', 'санкции', 'пока', 'неясно']",agree,путин подписал указ об ответных санкциях  он требует игнорировать действующие контракты и запрещает экспорт  кто попадет под санкции  пока неясно,путин подписывать указ ответный санкция требовать игнорировать действующий контракт запрещать экспорт попадать санкция пока неясный
43,44,"['япония', 'намерена', 'объединить', 'курилы', 'хоккайдо', 'помощью', 'океанского', 'песка']",disagree,япония намерена объединить курилы и хоккайдо с помощью океанского песка ,япония намерен объединять курилы хоккайдо помощь океанский песок
44,45,"['россия', 'ведёт', 'переговоры', 'мексикой', 'перезахоронении', 'троцкого', 'кремлевской', 'стене']",disagree,россия ведёт переговоры с мексикой о перезахоронении троцкого в кремлевской стене ,россия вести переговоры мексика перезахоронение троцкий кремлевский стена
45,46,"['морщины', 'зубов', 'фото', 'постаревшей', 'отвращения', 'бабкиной', 'фильтров', 'макияжа', 'слили', 'сеть']",disagree,морщины и нет зубов фото постаревшей до отвращения бабкиной без фильтров и макияжа слили в сеть,морщина зуб фото постареть отвращение бабкин фильтр макияж сливать сеть
46,47,"['россиянам', 'раскрыли', 'способ', 'избежать', 'ожирения', 'отпуcке']",agree,россиянам раскрыли способ избежать ожирения в отпуcке,россиянин раскрывать способ избегать ожирение отпуск
47,48,"['huawei', 'удалила', 'своего', 'магазина', 'приложения', 'российских', 'втб', '«открытия»', 'промсвязьбанка', 'попавших', 'санкции']",agree,huawei удалила из своего магазина приложения российских втб  «открытия» и промсвязьбанка  попавших под санкции,huawei удалять свой магазин приложение российский втб   « открытие промсвязьбанк попадать санкция
48,49,"['дерипаска', 'вспомнил', 'рузвельта', 'назвал', 'поправки', 'конституции', '«новым', 'соглашением»']",agree,дерипаска вспомнил рузвельта и назвал поправки к конституции «новым соглашением»,дерипаска вспомнить рузвельт называть поправка конституция новый соглашение
49,50,"['убиты', 'горем', 'беременная', 'орлова', 'пытается', 'спасти', 'ребенка']",disagree,убиты горем беременная орлова пытается спасти ребенка,убивать горе беременный орлов пытаться спасать ребенок
50,51,"['майя', 'санду', 'заявила', 'молдавия', 'сделает', 'всё', 'защиты', 'российско', 'молдавской', 'границы']",disagree,майя санду заявила что молдавия сделает всё для защиты российско молдавской границы ,майя санд заявлять молдавия сделать защита российский молдавский граница
51,52,"['старшеклассница', 'разу', 'занималась', 'сексом', 'забеременела']",agree,старшеклассница ни разу не занималась сексом и забеременела,старшеклассница заниматься секс забеременеть
52,53,"['ес', 'намерен', 'ослабить', 'шестой', 'пакет', 'санкций', 'исключить', 'предложение', 'запрете', 'транспортировку', 'российской', 'нефти', 'европейскими', 'судами']",agree,ес намерен ослабить шестой пакет санкций и исключить предложение о запрете на транспортировку российской нефти европейскими судами,намеривать ослаблять шестой пакет санкция исключать предложение запрет транспортировка российский нефть европейский судно
53,54,"['раскрыты', 'подробности', 's', 't', 'a', 'l', 'k', 'e', 'r', '\xa02']",agree,раскрыты подробности s t a l k e r  2,раскрывать подробность
54,55,"['джо', 'байден', 'объявил', 'выделении', 'военной', 'помощи', 'украине', '800', 'млн']",agree,джо байден объявил о выделении военной помощи украине еще на  800 млн,джо байден объявлять выделение военный помощь украина млн
55,56,"['«азов»', 'готов', 'покинуть', 'мариуполь', 'ранеными', 'убитыми', 'оружием', 'сдачи', 'плен', '—', 'замкомандира', 'полка']",agree,«азов» готов покинуть мариуполь с ранеными  убитыми  оружием и без сдачи в плен — замкомандира полка,азы готовый покидать мариуполь раненый убитый оружие сдача плен  —  замкомандир полк
56,57,"['арестованная', 'антивоенной', 'акции', 'художница', 'саша', 'скочиленко', 'пожаловалась', 'травлю', 'стороны', 'сокамерниц', 'сизо']",agree,арестованная из за антивоенной акции художница саша скочиленко пожаловалась на травлю со стороны сокамерниц в сизо,арестовывать антивоенный акция художница саша скочиленко пожаловаться травля сторона сокамерница сизо
57,58,"['поклонники', 'высмеяли', 'телеведущую', 'фото', 'микрофонами', 'бюстгальтере']",agree,поклонники высмеяли телеведущую за фото с микрофонами в бюстгальтере,поклонник высмеивать телеведущая фото микрофон бюстгальтер
58,59,"['светлане', 'лободе', 'верке', 'сердючке', 'святославу', 'вакарчуку', '28', 'украинцам', 'запретили', 'въезд', 'россию', '50', 'лет', '—', '«известия»']",agree,светлане лободе  верке сердючке  святославу вакарчуку и еще 28 украинцам запретили въезд в россию на 50 лет — «известия»,светлана лобода верка сердючок святослава вакарчук украинец запрещать въезд россия год  — « известие
59,60,"['сербские', 'журналисты', 'обнаружили', 'тайный', 'дворец', 'президента', 'вучича', 'черногории']",disagree,сербские журналисты обнаружили тайный дворец президента вучича в черногории ,сербский журналист обнаруживать тайный дворец президент вучич черногория
60,61,"['вандалы', 'разбили', 'стекла', 'полуторки', 'дороге', 'жизни', 'петербургом']",agree,вандалы разбили стекла полуторки на дороге жизни под петербургом,вандал разбивать стекло полуторка дорога жизнь петербург
61,62,"['семья', 'рыдает', 'появилось', 'известие', 'смерти', '40', 'летней', 'юлии', 'ковальчук']",disagree,семья рыдает появилось известие о смерти 40 летней юлии ковальчук,семья рыдать появляться известие смерть летний юлия ковальчук
62,63,"['украинские', 'горадминистрации', 'сельсоветы', 'поднимут', 'флаги', 'евросоюза', 'рамках', 'стратегии', '“опережающего', 'еврочленства”']",disagree,украинские горадминистрации и сельсоветы поднимут флаги евросоюза в рамках стратегии “опережающего еврочленства” ,"украинский горадминистрация сельсовет подымать флаг евросоюз рамка стратегия опережающий еврочленство ” 
"
63,64,"['совет', 'правам', 'человека', 'президенте', 'россии', 'признал', 'дерека', 'шовина', 'политзаключенным']",disagree,совет по правам человека при президенте россии признал дерека шовина политзаключенным ,совет право человек президент россия признавать дерек шовина политзаключенный
64,65,"['гурбангулы', 'бердымухамедов', 'окончания', 'президентских', 'полномочий', 'возглавить', 'google', 'turkmenia']",disagree,гурбангулы бердымухамедов после окончания президентских полномочий может возглавить google turkmenia ,гурбангулы бердымухамедов окончание президентский полномочие мочь возглавлять google turkmenia
65,66,"['количество', 'мест', 'совете', 'федерации', 'увеличено', '5', 'тысяч']",disagree,количество мест в совете федерации может быть увеличено до 5 тысяч ,количество место совет федерация мочь увеличивать тысяча
66,67,"['западная', 'технология', 'разложения', 'россии', 'шоу', 'соловьёва', 'призвали', 'отказаться', 'идей', 'демократии']",disagree,западная технология для разложения россии  на шоу соловьёва призвали отказаться от идей демократии ,западный технология разложение россия шоу соловьев призывать отказываться идея демократия
67,68,"['ким', 'чен', 'ын', 'снялся', 'рекламном', 'ролике', 'смузи', 'древесных', 'опилок']",disagree,ким чен ын снялся в рекламном ролике смузи из древесных опилок ,ким чен сниматься рекламный ролик смузи древесный опилки
68,69,"['криштиану', 'роналду', 'умер', 'новорожденный', 'сын']",agree,у криштиану роналду умер новорожденный сын,криштиану роналд умирать новорожденный сын
69,70,"['перекошенная', 'капельницей', 'молодая', 'мама', 'тодоренко', 'стала', 'овощем', 'жуткой', 'травмы']",disagree,перекошенная под капельницей молодая мама тодоренко стала овощем после жуткой травмы,перекашивать капельница молодой мама тодоренко становиться овощ жуткий травма
70,71,"['зюганов', 'поддержал', 'трампа', 'борьбе', '«неграми', 'леваками»']",disagree,зюганов поддержал трампа в борьбе с «неграми и леваками» ,"зюганов поддерживать трамп борьба негр левак » 
"
71,72,"['связи', 'болезнью', 'борис', 'джонсон', 'временно', 'передаст', 'управление', 'великобританией', 'своему', 'брату']",disagree,в связи с болезнью борис джонсон временно передаст управление великобританией своему брату ,связь болезнь борис джонсон временно передавать управление великобритания свой брат
72,73,"['черногория', 'отдаст', 'законотворческую', 'деятельность', 'аутсорсинг']",disagree,черногория отдаст законотворческую деятельность на аутсорсинг ,черногория отдавать законотворческий деятельность аутсорсинг
73,74,"['«пора', 'наказать', 'коррупционеров»', '«единая', 'россия»', 'объявила', 'переходе', 'оппозицию']",disagree,«пора наказать коррупционеров»  «единая россия» объявила о переходе в оппозицию ,пора наказывать коррупционер »  « единый россия объявлять переход оппозиция
74,75,"['луцкий', 'террорист', 'раскрыл', 'планы', 'захватить', 'собор']",agree,луцкий террорист раскрыл планы захватить собор,луцкий террорист раскрывать план захватить собор
75,76,"['американцы', 'нами', 'ленд', 'лиз', 'рассчитались', 'пушков', 'высмеял', 'новые', 'санкции', 'сша', 'twitter']",disagree,американцы с нами еще за ленд лиз не рассчитались  пушков высмеял новые санкции сша в twitter ,американец ленд лиза рассчитываться пушок высмеивать новый санкция сша twitter
76,77,"['cnn', 'путин', 'планирует', 'объявить', 'войну', 'украине', '9', 'мая', 'это', 'позволит', 'провести', 'мобилизацию']",agree,cnn  путин планирует объявить войну украине 9 мая  это позволит ему провести мобилизацию,cnn путин планировать объявлять война украина май это позволять проводить мобилизация
77,78,"['замглавы', 'воз', 'обещавший', 'сенсацию', 'коронавирусе', 'насмерть', 'подавился', 'брокколи', 'час', 'пресс', 'конференции']",disagree,замглавы воз обещавший сенсацию о коронавирусе насмерть подавился брокколи за час до пресс конференции ,замглавы воз обещать сенсация коронавирус насмерть подавиться брокколи час пресс конференция
78,79,"['грузии', 'нашли', '11', '780', 'голосов', 'трампа', 'отданных', 'президентских', 'выборах', 'сша']",disagree,в грузии нашли 11 780 голосов трампа отданных за него на президентских выборах в сша ,грузия находить голос трамп отдавать президентский выборы сша
79,80,"['высланные', 'великобритании', 'российские', 'дипломаты', 'провели', 'акцию', 'протеста', 'возле', 'букингемского', 'дворца']",disagree,высланные из великобритании российские дипломаты провели акцию протеста возле букингемского дворца ,высылать великобритания российский дипломат проводить акция протест возле букингемский дворец
80,81,"['триумфальную', 'арку', 'передадут', 'россии', 'качестве', 'оплаты', 'неустойки', 'мистрали']",disagree,триумфальную арку передадут россии в качестве оплаты неустойки за мистрали ,триумфальный арка передавать россия качество оплата неустойка мистраль
81,82,"['джастин', 'трюдо', 'призвал', 'учёных', 'поработать', 'сдвигом', 'литосферной', 'плиты', 'отделения', 'канады', 'северной', 'америки']",disagree,джастин трюдо призвал учёных поработать над сдвигом литосферной плиты для отделения канады от северной америки ,джастин трюдо призывать ученый поработать сдвиг литосферный плита отделение канада северный америка
82,83,"['явлинский', 'осудил', 'иностранных', 'дипломатов', 'попытку', 'оказать', 'давление', 'суд', 'делу', 'навального']",disagree,явлинский осудил иностранных дипломатов за попытку оказать давление на суд по делу навального ,явлинский осуждать иностранный дипломат попытка оказывать давление суд дело навальный
83,84,"['американские', 'сми', 'сша', 'предоставили', 'украине', 'разведданные', 'благодаря', 'которым', 'смогла', 'ударить', 'крейсеру', '«москва»']",agree,американские сми  сша предоставили украине разведданные  благодаря которым она смогла ударить по крейсеру «москва»,американский сми сша предоставлять украина разведданные благодаря который смочь ударять крейсер москва
84,85,"['группа', '«би', '2»', 'отменила', 'концерт', 'омске', 'буквы', 'z']",agree,группа «би 2» отменила концерт в омске из за буквы z,группа отменять концерт омск буква
85,86,"['поклонская', 'предложила', 'назначить', 'николая', 'ii', 'пожизненным', 'сенатором']",disagree,поклонская предложила назначить николая ii пожизненным сенатором ,поклонский предлагать назначать николай пожизненный сенатор
86,87,"['канье', 'уэст', 'спросил', 'совета', 'фанатов', 'поводу', 'предвыборной', 'гонки']",agree,канье уэст спросил совета у фанатов по поводу предвыборной гонки,кание уэст спрашивать совет фанат повод предвыборный гонка
87,88,"['россия', 'подписала', 'договор', 'передаче', 'китаю', 'аренду', '35', 'млрд', 'га', 'земли']",disagree,россия подписала договор о передаче китаю в аренду 35 млрд га земли ,россия подписывать договор передача китай аренда млрд земля
88,89,"['31', 'декабря', 'владимир', 'жириновский', 'назовет', 'имя', 'своего', 'преемника']",disagree,31 декабря владимир жириновский назовет имя своего преемника ,декабрь владимир жириновский называть имя свой преемник
89,90,"['себастьян', 'курц', 'принял', 'присягу', 'канцлера', 'звуки', 'имперского', 'марша', 'австро', 'венгрии']",disagree,себастьян курц принял присягу канцлера под звуки имперского марша австро венгрии ,себастьян курц принимать присяга канцлер звук имперский марш австро венгрия
90,91,"['пашинян', 'предложил', 'ввести', 'санкции', 'против', '«турецкого', 'потока»', 'аэс', '«аккую»']",disagree,пашинян предложил ввести санкции против «турецкого потока» и аэс «аккую» ,"пашинян предлагать вводить санкция против турецкий поток аэс аккуй » 
"
91,92,"['еспч', 'порекомендовал', 'обращаться', 'суд', 'всем', 'пострадавшим', 'действий', 'российской', 'империи']",disagree,еспч порекомендовал обращаться в суд всем пострадавшим от действий российской империи ,еспча порекомендовать обращаться суд весь пострадавший действие российский империя
92,93,"['лукашенко', 'реорганизует', 'республику', 'первую', 'белорусскую', 'империю']",disagree,лукашенко реорганизует республику в первую белорусскую империю ,лукашенко реорганизовывать республика первый белорусский империя
93,94,"['кадыров', 'начать', 'второй', 'этап', 'конкретно', 'провести', 'специальную', 'операцию', 'всей', 'территории', 'украины']",agree,кадыров  надо начать второй этап и конкретно провести специальную операцию по всей территории украины,кадыров начинать второй этап конкретно проводить специальный операция весь территория украина
94,95,"['роскомнадзор', 'заблокировал', 'сайт', 'издания', 'moscow', 'times', 'новости', 'отказе', 'омоновцев', 'воевать', 'украине']",agree,роскомнадзор заблокировал сайт издания moscow times из за новости об отказе омоновцев воевать в украине,роскомнадзор заблокировать сайт издание moscow times новость отказ омоновец воевать украина
